<<<<<<< HEAD
State,Confirmed Cases,Cured,Deaths
MH,183,3,25
KL,174,8,15
KA,76,0,5
TS,56,10,1
UP,54,1,11
GJ,52,1,0
RJ,52,2,3
DL,38,1,6
PB,38,0,1
TN,36,6,2
JK,31,0,1
MP,30,0,0
HR,19,14,12
WB,17,0,0
AP,14,0,1
LA,13,0,3
BR,9,0,0
CH,8,0,0
CT,6,0,0
UT,5,1,1
OR,3,0,0
HP,3,0,0
GA,2,1,0
MN,1,0,0
MZ,1,0,0
PY,1,0,0
=======
State,Indians,Immigrants,Cured,Deaths
MH,177,3,25,5
KL,165,8,11,0
KA,55,0,3,2
RJ,46,2,3,0
UP,44,1,11,0
GJ,44,1,0,3
TS,38,10,1,0
DL,38,1,6,1
PB,38,0,1,1
TN,32,6,2,1
MP,30,0,0,2
HR,19,14,11,0
JK,18,0,1,1
WB,15,0,0,1
AP,14,0,1,0
LA,13,0,3,0
BR,9,0,0,1
CH,7,0,0,0
CT,6,0,0,0
UT,4,1,0,0
OR,3,0,0,0
HP,3,0,0,1
GA,3,0,0,0
MN,1,0,0,0
MZ,1,0,0,0
PY,1,0,0,0
>>>>>>> 553e6234caebe6b57afcb8cb00ead0c64998eaf1
